wavelength_A,flux,error,model,mission,instrument,plate,mjd,fiberid,specobjid,run2d,programname,data_release
3944.5725,28.932384,2.368471,27.79973,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3945.4822,29.289722,2.3806453,27.860226,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3946.39,26.294704,2.3398416,27.907001,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3947.2979,23.019793,2.3272266,27.807058,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3948.208,26.667788,2.3901052,27.699505,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3949.1162,27.941961,2.4144926,27.633314,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3950.0269,26.538605,2.3618634,27.570017,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3950.9355,23.449963,2.2720447,27.553396,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3951.8467,23.32644,2.2334676,27.601122,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3952.7559,27.617792,2.285379,27.642807,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3953.665,30.057114,2.563222,27.699703,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3954.577,27.95448,2.5095809,27.682789,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3955.4866,27.753607,2.4665449,27.612911,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3956.3987,23.21216,2.1341264,27.49694,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3957.3088,26.266834,2.2010398,27.400238,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3958.2214,23.579956,2.1484365,27.413116,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3959.132,24.418648,2.155083,27.338888,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3960.045,25.19729,2.1608737,27.24284,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3960.956,27.019863,2.186315,27.185843,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3961.8672,27.62219,2.187561,27.188852,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3962.7808,26.177683,2.1424415,27.217436,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3963.6924,27.135605,2.1525283,27.204542,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3964.6064,27.590912,2.1610398,27.172852,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3965.5186,24.15718,2.095147,27.241089,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3966.4329,28.142378,2.1937387,27.33451,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3967.3455,27.668001,2.1548436,27.363844,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
3968.258,25.063334,2.0698369,27.318974,SDSS-SDSS,SDSS,2654,54231,23,2988144745936611328,26,binning 1   1,DR18
