# wavelength_A flux_1e-17 err_1e-17
4188.9014 24.05542 1.6328987
4189.8647 25.824177 1.6539658
4190.8286 28.98135 1.6982899
4191.7949 27.305098 1.6765422
4192.7593 25.440878 1.6317611
4193.7261 27.151203 1.6631575
4194.6909 25.574574 1.5993578
4195.6582 27.487827 1.6301278
4196.6235 25.338614 1.6177511
4197.5889 23.086826 1.6659994
4198.5571 22.725946 1.6729004
4199.5229 24.814756 1.6294321
4200.4912 24.960594 1.6393489
4201.4575 25.11232 1.6491629
4202.4263 25.871088 1.644073
4203.3931 25.268305 1.6436892
4204.3599 26.136124 1.6873749
4205.3296 27.906836 1.6487185
4206.2969 22.588392 1.549209
4207.2671 25.058918 1.6180346
4208.2349 25.929665 1.638157
4209.2051 23.188175 1.5929655
4210.1738 24.893652 1.6502671
4211.1421 26.093023 1.6305935
4212.1133 24.133823 1.5864708
4213.082 23.593126 1.5790838
4214.0537 25.307411 1.5839974
4215.0229 26.075304 1.6155214
4215.9951 24.496012 1.6122997
4216.9648 23.531681 1.609604
4217.9351 26.835375 1.5905998
4218.9077 24.740656 1.5866617
4219.8784 24.876265 1.6069702
4220.8516 26.453514 1.6378831
4221.8223 22.305845 1.5736544
4222.7959 25.4597 1.6103952
4223.7676 26.202686 1.6200281
4224.7393 24.14242 1.5836607
4225.7134 24.256124 1.5800726
4226.6855 24.980253 1.5524443
4227.6602 24.150322 1.5363824
4228.6328 24.875053 1.5483998
4229.6079 27.912134 1.6348563
4230.5806 25.767101 1.6166432
4231.5542 23.875103 1.5799179
4232.5298 25.693466 1.6268886
4233.5034 23.035557 1.5561529
4234.48 24.280169 1.5787424
4235.4541 23.923433 1.5593613
4236.4307 23.727005 1.5521659
4237.4053 25.032158 1.5609229
4238.3799 24.787403 1.5530493
4239.3574 24.041092 1.5538688
4240.3325 25.695576 1.5813446
4241.3105 26.406185 1.6078528
4242.2861 23.765694 1.5480243
4243.2642 24.39348 1.5476197
4244.2407 25.822521 1.5680945
4245.2168 25.095352 1.6215222
4246.1958 27.768839 1.7142365
4247.1729 25.401247 1.6757085
4248.1519 25.667849 1.6423247
4249.1294 26.488699 1.6366577
4250.1094 23.560242 1.5629625
4251.0869 22.317324 1.5276328
4252.0649 24.783587 1.5571179
4253.0454 25.795815 1.5676266
4254.0239 25.918163 1.551224
4255.0049 25.63213 1.5368502
4255.9834 23.450216 1.4900715
4256.9648 23.993441 1.494218
4257.9443 22.54657 1.4964173
4258.9263 24.601332 1.5690118
4259.9058 24.47496 1.6124684
4260.8857 23.615639 1.6297851
4261.8687 23.552889 1.5940969
4262.8491 24.125664 1.5781251
4263.832 24.059143 1.5425562
4264.813 22.898342 1.4844261
4265.7964 24.194105 1.501596
4266.7778 22.192368 1.4753
4267.7593 25.672222 1.5418861
4268.7432 26.28129 1.5724357
4269.7256 21.820652 1.4759501
4270.71 22.981045 1.4961873
4271.6924 26.58363 1.5244628
4272.6772 23.61561 1.4806036
4273.6606 23.98708 1.4754207
4274.6436 25.778641 1.5038328
4275.6294 24.472549 1.5017256
4276.6128 24.403652 1.5192991
4277.5991 22.796938 1.5064558
4278.583 23.123056 1.4853652
4279.5698 22.323627 1.4442488
4280.5542 22.568829 1.4410808
4281.5391 24.668434 1.4943557
4282.5264 22.106359 1.4352361
4283.5117 21.741625 1.4133922
4284.499 22.298098 1.408487
4285.4849 21.68837 1.4132839
4286.4731 23.76951 1.463537
4287.459 24.960676 1.5269235
4288.4453 23.049973 1.5232887
4289.4346 22.77149 1.5216517
4290.4214 22.874624 1.527932
4291.4106 24.785141 1.5542276
4292.3979 22.716776 1.5045691
4293.3877 22.988461 1.5029352
4294.3755 21.853935 1.48045
4295.3633 22.882648 1.50939
4296.3535 23.98975 1.5173409
4297.3423 22.522694 1.4749228
4298.333 22.044634 1.4771262
4299.3218 21.542812 1.4883804
4300.3135 21.527702 1.5193734
4301.3027 23.278309 1.5414606
4302.292 24.666691 1.5556298
4303.2842 24.736959 1.5421878
4304.2744 22.411188 1.4938651
4305.2666 24.454586 1.4722074
4306.2573 25.138868 1.4692531
4307.25 23.38187 1.4402188
4308.2412 23.628363 1.4431137
4309.2319 21.902462 1.4365578
4310.2261 23.037523 1.4681932
4311.2173 23.685118 1.4705104
4312.2114 23.122185 1.4910531
4313.2036 23.786951 1.4880606
4314.1982 23.263197 1.4477425
4315.1904 20.529356 1.4012684
4316.1836 21.097349 1.4120668
4317.1787 22.449034 1.4423274
4318.1719 24.46196 1.4789141
4319.1675 21.898594 1.4501305
4320.1611 22.593021 1.4562504
4321.1572 21.468697 1.4468006
4322.1514 22.996845 1.4689535
4323.146 24.047464 1.4554323
4324.1426 24.696156 1.4623225
4325.1377 24.183386 1.4639453
4326.1348 21.686407 1.4239101
4327.1299 20.676138 1.4191327
4328.1279 22.547695 1.4264846
4329.1235 22.538795 1.4138676
4330.1196 21.662842 1.3649772
4331.1182 23.972319 1.4245237
4332.1143 23.847757 1.425001
4333.1133 21.857792 1.3784047
4334.1104 22.223118 1.3856058
4335.1099 25.663591 1.446954
4336.1069 23.974215 1.4414603
4337.1069 23.415194 1.4503322
4338.1045 25.766657 1.4772438
4339.1025 26.5259 1.4683408
4340.103 26.217653 1.455088
4341.1016 26.269058 1.4689596
4342.1025 25.721811 1.4693559
4343.1016 26.278152 1.5169474
4344.103 22.941383 1.5090518
4345.1025 26.858915 1.5878246
4346.1021 26.585949 1.5482446
4347.104 25.622129 1.5301414
4348.104 22.581028 1.5977467
4349.1069 23.556192 1.6077484
4350.1074 25.49275 1.466369
4351.1104 24.583687 1.4638665
4352.1113 24.529182 1.4388739
4353.1128 24.814085 1.4150909
4354.1167 22.996569 1.4223052
4355.1182 22.483458 1.4660273
4356.1226 24.548174 1.5525109
4357.1245 24.596357 1.6219236
4358.1294 19.72315 1.6212609
4359.1318 20.076302 1.6520209
4360.1348 23.30805 1.6635771
4361.1401 23.629038 1.5823345
4362.1436 23.246298 1.5587589
4363.1494 20.193121 1.4838964
4364.1528 23.769114 1.4718418
4365.1592 23.934019 1.4245197
4366.1636 22.544456 1.3823242
4367.168 24.112434 1.3952276
4368.1753 23.03068 1.3675557
4369.1802 20.890972 1.3222886
4370.1875 21.235268 1.3382311
4371.1929 22.485355 1.3698941
4372.2007 23.751507 1.3892182
4373.2065 22.011902 1.3485628
4374.2129 19.181337 1.2884977
4375.2212 21.549728 1.3329734
4376.228 22.403214 1.3436363
4377.2368 22.709435 1.3595352
4378.2441 21.2768 1.321366
4379.2534 20.650188 1.3365059
4380.2612 23.35191 1.3660575
4381.2686 24.110058 1.3925533
4382.2793 20.790497 1.3681788
4383.2871 19.772335 1.3869858
4384.2979 20.958759 1.4177852
4385.3066 21.961758 1.4094096
4386.3179 21.393639 1.3596785
4387.3267 23.610977 1.3620682
4388.3359 20.744202 1.3020459
4389.3481 19.894922 1.2822422
4390.3579 24.19475 1.3608832
4391.3701 22.370163 1.338199
4392.3804 20.130831 1.305346
4393.3936 19.450644 1.3058761
4394.4043 21.243462 1.3276192
4395.415 22.508995 1.3337768
4396.4287 20.19022 1.3000515
4397.4399 20.18396 1.2979242
4398.4541 21.505802 1.3215339
4399.4658 21.656368 1.3406167
4400.4805 21.957655 1.3472996
4401.4927 20.562019 1.3196423
4402.5054 20.209803 1.3120233
4403.5205 18.591343 1.2843256
4404.5337 19.376045 1.3030899
4405.5493 20.664131 1.3380318
4406.5625 22.11385 1.3601525
4407.5786 19.852182 1.3191372
4408.5928 18.939735 1.2938933
4409.6069 19.957043 1.3101236
4410.624 19.170668 1.3340631
4411.6387 18.971228 1.3622475
4412.6558 19.044712 1.3946611
4413.6709 21.380621 1.4025457
4414.6885 20.33814 1.3746214
4415.7041 19.998178 1.3141086
4416.7227 19.754913 1.2975385
4417.7388 18.303041 1.2664193
4418.7549 19.187872 1.3066655
4419.7739 22.341206 1.3694566
4420.7905 21.028351 1.3563579
4421.8101 21.286819 1.3508984
4422.8271 21.989357 1.3304921
4423.8472 20.596592 1.3131214
4424.8647 20.690746 1.3201212
4425.8828 19.502436 1.3198708
4426.9033 16.35648 1.3018682
4427.9219 21.414349 1.3846179
4428.9429 21.034927 1.3575861
4429.9619 18.59483 1.3008952
4430.9834 21.113785 1.3167188
4432.0024 20.329044 1.3014879
4433.022 19.670692 1.2870566
4434.0444 18.913202 1.3020329
4435.0645 17.927418 1.2659087
4436.0874 19.994003 1.2983859
4437.1079 20.514467 1.322827
4438.1309 19.412739 1.3288518
4439.1519 18.938196 1.3184084
4440.1733 19.567406 1.3234137
4441.1968 20.319242 1.3147922
4442.2188 19.092468 1.2901957
4443.2432 19.044796 1.2720395
4444.2651 19.740488 1.2664531
4445.29 19.428211 1.2602451
4446.3125 17.255163 1.2318057
4447.3354 19.595072 1.2855651
4448.3613 19.878397 1.2741524
4449.3843 19.45956 1.2716846
4450.4106 21.291544 1.3135017
4451.4341 19.255293 1.3013399
4452.4609 19.557127 1.279909
4453.4849 19.671427 1.2660304
4454.5098 17.984526 1.2410979
4455.5366 18.393785 1.228271
4456.5615 19.456144 1.2388127
4457.5894 19.687553 1.228425
4458.6147 17.751287 1.1916543
4459.6431 17.564016 1.1771748
4460.6689 18.948849 1.209089
4461.6953 18.171568 1.2073452
4462.7241 20.880486 1.2612575
4463.7505 21.092539 1.2473907
4464.7798 20.848669 1.25872
4465.8071 20.210096 1.2396114
4466.8369 20.901899 1.2451931
4467.8643 21.976921 1.2530042
4468.8921 21.333651 1.2464017
4469.9229 21.048817 1.2291451
4470.9512 20.121166 1.2364272
4471.9819 17.721926 1.247757
4473.0107 19.273811 1.2884806
4474.0425 20.961828 1.3036007
4475.0718 19.297131 1.2455068
4476.1011 17.912245 1.1938676
4477.1333 19.81954 1.2211986
4478.1631 19.276518 1.2279227
4479.1958 18.754208 1.2188408
4480.2266 16.878786 1.162694
4481.2593 19.229908 1.2162973
4482.2905 19.595648 1.2871722
4483.3213 21.758789 1.368731
4484.3555 20.542498 1.5483432
4485.3872 17.551853 1.5797014
4486.4214 17.642097 1.2950497
4487.4536 18.421888 1.2660975
4488.4883 18.310751 1.2032454
4489.521 17.859999 1.2003326
4490.5537 18.579979 1.2143627
4491.5889 15.587541 1.1709617
4492.6226 17.555849 1.2041999
4493.6582 18.529228 1.2355877
4494.6919 17.808603 1.2358167
4495.7285 16.775272 1.2432847
4496.7627 19.676849 1.2535777
4497.7998 17.761087 1.2127703
4498.8345 17.578793 1.2062842
4499.8696 19.133545 1.210061
4500.9072 18.947994 1.2131276
4501.9424 21.192726 1.2562002
4502.9805 21.58198 1.2730531
4504.0166 17.751965 1.2188199
4505.0552 17.919092 1.2071334
4506.0913 19.196066 1.2243286
4507.1279 19.714987 1.2385137
4508.1675 19.412176 1.2111686
4509.2046 18.331369 1.1746784
4510.2446 18.202036 1.1667459
4511.2822 20.43564 1.2157226
4512.3223 19.486822 1.2148199
4513.3604 17.507259 1.1739836
4514.3984 18.765598 1.201381
4515.4395 18.459921 1.1968299
4516.4785 19.285385 1.222448
4517.52 18.65291 1.1994271
4518.5591 17.804773 1.165511
4519.6011 18.864056 1.1784467
4520.6406 18.586882 1.1908362
4521.6807 19.099049 1.1963159
4522.7236 20.363281 1.2231332
4523.7642 15.852651 1.1731584
4524.8071 18.871376 1.2137535
4525.8481 19.116562 1.2003233
4526.8916 16.887886 1.155892
4527.9331 18.516411 1.1676556
4528.9746 19.832418 1.181863
4530.019 17.689762 1.151545
4531.061 17.769938 1.1792393
4532.106 19.304462 1.2203225
4533.1489 20.94079 1.2600576
4534.1938 20.369223 1.247293
4535.2373 18.295057 1.2020595
4536.2803 18.197809 1.1887182
4537.3267 18.725317 1.1831658
4538.3701 17.872898 1.1759152
4539.417 17.930412 1.1720433
4540.4609 19.304083 1.1999974
4541.5083 20.819855 1.2167869
4542.5527 17.405655 1.1578137
4543.5981 18.255207 1.1989466
4544.6455 18.158422 1.1864812
4545.6909 19.028496 1.1848953
4546.7393 17.127401 1.1459336
4547.7852 19.985075 1.1879811
4548.834 18.269295 1.1717057
4549.8804 18.400032 1.1666374
4550.9272 18.246992 1.1826305
4551.9766 19.698114 1.1997503
4553.0239 19.87953 1.1915089
4554.0737 19.11175 1.1695307
4555.1216 18.666765 1.1691056
4556.1719 17.924078 1.1848969
4557.2197 19.311466 1.2216096
4558.2686 18.963209 1.2280751
4559.3193 16.965117 1.1876384
4560.3682 18.400728 1.2044015
4561.4199 18.286077 1.1882371
4562.4692 19.281296 1.1914977
4563.5215 16.930397 1.1307696
4564.5713 18.099199 1.1322134
4565.6211 18.696552 1.1546303
4566.6743 18.608912 1.1698202
4567.7246 19.537373 1.1889292
4568.7778 18.733192 1.2034559
4569.8291 17.541201 1.2055253
4570.8828 18.404797 1.2257187
4571.9341 17.809515 1.2092007
4572.9888 17.502356 1.172928
4574.0405 18.57979 1.1793139
4575.0928 17.649527 1.1763444
4576.1479 17.157307 1.1834344
4577.2007 17.951166 1.1976768
4578.2559 19.829914 1.2504033
4579.3091 17.725649 1.2492363
4580.3652 16.645643 1.1960905
4581.4189 15.920913 1.166858
4582.4731 19.562834 1.2217518
4583.5298 18.064241 1.2164094
4584.584 17.697737 1.2174338
4585.6411 18.969202 1.2320554
4586.6963 16.546932 1.1472243
4587.7539 16.417253 1.1303252
4588.8091 16.709055 1.1124556
4589.8647 18.46434 1.1406751
4590.9233 18.872288 1.1386985
4591.9795 18.507452 1.1503582
4593.0386 18.628214 1.1446508
4594.0952 16.957249 1.1153944
4595.1543 16.855938 1.1028378
4596.2114 17.222748 1.1632659
4597.269 17.438951 1.3615987
4598.3291 16.032341 1.1215278
4599.3867 17.371859 1.1360779
4600.4473 18.735491 1.1588104
4601.5059 16.21833 1.117117
4602.5669 17.900707 1.1351848
4603.6255 16.877769 1.1253996
4604.6846 17.501698 1.1197023
4605.7466 18.194536 1.1158475
4606.8062 16.751213 1.0568084
4607.8687 16.286552 1.0648966
4608.9287 17.49777 1.0899713
4609.9912 18.390814 1.1051698
4611.0518 17.622025 1.0898395
4612.1128 17.336916 1.0778298
4613.1763 17.629503 1.0836368
4614.2373 16.731878 1.0698742
4615.3013 18.102039 1.1010618
4616.3633 17.486481 1.1009908
4617.4277 17.918558 1.1008511
4618.4897 20.595333 1.1381934
4619.5522 17.643595 1.0908521
4620.6177 17.318779 1.0869745
4621.6807 18.013144 1.1426526
4622.7466 18.174322 1.1719811
4623.8096 18.359585 1.1550026
4624.876 17.741482 1.1177442
