# wavelength_A flux_1e-17 err_1e-17
4065.3701 0.33956948 0.42524916
4066.3054 0.048257858 0.43461826
4067.241 0.31420401 0.51212674
4068.1787 1.694443 0.54592913
4069.1147 -0.40930295 0.51052558
4070.053 -0.30207649 0.44694254
4070.9893 0.20468353 0.42616266
4071.928 0.38641387 0.41744354
4072.8647 0.6472854 0.45759851
4073.8018 -0.23593837 0.44636291
4074.7412 -0.025578115 0.45458844
4075.6787 0.5709157 0.45298794
4076.6184 0.18402098 0.44601855
4077.5562 0.43018097 0.45420471
4078.4966 0.45003602 0.42261249
4079.4348 -0.73735899 0.40322965
4080.3733 0.64679456 0.41433591
4081.3142 -0.023474827 0.41303355
4082.2532 0.1605311 0.40854901
4083.1943 0.61499232 0.40655562
4084.1338 1.1190528 0.41574553
4085.0757 0.11408135 0.39625728
4086.0154 -0.35373002 0.3880913
4086.9553 0.53209847 0.43364918
4087.8977 -0.070066802 0.44802907
4088.8381 -1.2401631 0.44943774
4089.781 0.61812389 0.45466459
4090.7219 -0.14703619 0.44135794
4091.6653 -0.19782253 0.41856635
4092.6064 0.37365127 0.39852419
4093.5481 0.42146906 0.40442127
4094.4919 -0.016049851 0.39425439
4095.4338 -0.33635369 0.39050317
4096.3784 0.20532933 0.39127231
4097.3208 0.84018391 0.39893821
4098.2656 0.5311873 0.40239048
4099.2085 -0.52063894 0.37528431
4100.1514 -0.89191151 0.37165031
4101.0967 0.27227008 0.3832674
4102.04 0.032506693 0.38951772
4102.9863 0.91859692 0.41557664
4103.9302 0.74461329 0.43011847
4104.8765 1.0687401 0.43345493
4105.8208 0.23798601 0.41219074
4106.7676 0.041794006 0.3934651
4107.7124 0.23877107 0.38342822
4108.6572 0.61167729 0.40082219
4109.6045 0.9957937 0.40219736
4110.5503 -0.0031887081 0.39450243
4111.498 0.26685032 0.39563781
4112.4438 -0.070931002 0.38056886
4113.3921 0.23990153 0.38009775
4114.3384 0.26955122 0.39101112
4115.2852 0.25731105 0.38496211
4116.2339 -0.53362638 0.36939135
4117.1807 0.085357472 0.38808459
4118.1304 0.24137573 0.38678133
4119.0776 -0.03757247 0.37469473
4120.0273 0.48316181 0.37717971
4120.9751 0.11638775 0.36574671
4121.9233 -0.3636615 0.37856326
4122.874 -0.18785286 0.38561663
4123.8223 -0.52063173 0.38634199
4124.7734 0.3713977 0.3985081
4125.7222 -0.010653242 0.41307732
4126.6733 -0.18602794 0.40230727
4127.623 0.56383711 0.41983739
4128.5723 0.89021623 0.41278976
4129.5244 0.22336476 0.39896634
4130.4746 -0.40662724 0.38933924
4131.4268 -0.16413234 0.39602649
4132.3774 0.36848304 0.40440136
4133.3301 0.66911274 0.41553134
4134.2812 0.43619758 0.41277745
4135.2324 0.088111982 0.40578696
4136.1855 0.41992396 0.40641728
4137.1372 -0.27685907 0.39237839
4138.0913 -0.23489703 0.38525787
4139.0435 0.39076978 0.40300211
4139.9976 -0.01675046 0.38354653
