wavelength_A,flux,error,model,mission,instrument,plate,mjd,fiberid,specobjid,run2d,programname,data_release
3888.6592,0.8708559,0.48921564,0.08506386,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3889.556,1.1266363,0.48714274,0.09509659,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3890.4507,-0.54873,0.46627146,0.085121445,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3891.348,-0.3773591,0.47274098,0.09514521,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3892.243,-0.8353023,0.46480262,0.106138304,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3893.1406,-0.40800345,0.45482898,0.108072594,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3894.0361,0.45567667,0.46941745,0.092903025,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3894.934,-0.28996992,0.4647055,0.06341355,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3895.83,-0.3894956,0.45495063,0.08873621,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3896.7263,0.3576574,0.4810579,0.10498357,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3897.625,-0.58058023,0.45140824,0.092898786,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3898.5215,-1.7289977,0.42845434,0.080511786,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3899.4207,-0.5080121,0.46845523,0.07768064,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3900.3176,-0.117294125,0.4550288,0.06810358,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3901.217,-1.3341777,0.45873702,0.09339308,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3902.1145,0.76065063,0.48411337,0.0912075,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3903.0122,-0.8864563,0.47207615,0.075916335,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3903.912,0.52187777,0.47515497,0.07549358,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3904.8103,0.9024623,0.47569406,0.08808924,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3905.7107,1.2094148,0.5178732,0.08853548,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3906.6094,0.14781491,0.50796974,0.0868744,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3907.51,-1.2243743,0.50802284,0.077339925,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3908.409,-1.2815627,0.48506734,0.0696661,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3909.308,-0.682226,0.50030285,0.07905915,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3910.2097,0.93500996,0.5039138,0.09932016,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3911.1091,-0.10413138,0.48787487,0.10145888,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3912.011,0.54954773,0.49139488,0.086742535,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3912.9111,0.25155059,0.48607904,0.08829106,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3913.8132,-0.049643815,0.48509005,0.101969235,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3914.7136,0.49404874,0.49259418,0.09370615,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3915.6143,-0.27087006,0.5013965,0.07113687,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3916.517,-0.19767731,0.5055211,0.08161721,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3917.4182,0.5070092,0.49289402,0.07786009,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3918.3215,-0.5685325,0.48548895,0.0878651,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3919.223,0.051428366,0.49748918,0.078222044,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3920.1267,0.8233562,0.5102663,0.056690898,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3921.0286,0.4985875,0.49122706,0.059740014,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3921.9307,-0.9034863,0.45099282,0.09026518,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3922.835,-0.13310021,0.46403342,0.0735814,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3923.7373,0.031482972,0.4482134,0.06637405,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3924.642,-0.36211565,0.45954812,0.07434789,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3925.5452,-0.8401883,0.4580272,0.07424193,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3926.4502,-0.25533524,0.47716025,0.069699705,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3927.3535,0.33133844,0.48610917,0.08498865,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3928.257,-0.7158936,0.4569255,0.07059594,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3929.1628,-0.8424662,0.45115614,0.054835156,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3930.0667,0.17748617,0.44901466,0.06909793,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3930.9731,-0.112808354,0.43585023,0.08675928,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3931.8774,0.99041784,0.44149843,0.09024117,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3932.784,-0.1152862,0.42639163,0.097004876,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3933.6887,-0.12145074,0.43008322,0.076712295,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3934.5938,-0.6228948,0.41939116,0.09443232,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3935.501,-0.48161414,0.4154797,0.08825783,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3936.4062,0.69031906,0.42733943,0.07511303,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3937.3142,0.2132366,0.42316377,0.086941406,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3938.22,0.2918988,0.41398644,0.09711194,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3939.128,-0.2742298,0.41539517,0.09583308,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
3940.0342,-1.1325158,0.41410682,0.08743894,SDSS-SDSS,SDSS,527,52342,323,593438075762272256,26,binning 1   1,DR18
