# wavelength_A donor_subtracted_flux_1e-17 err_1e-17
4132.377 3.283435 1.375316
4133.33 4.04629 1.486042
4134.281 6.268731 1.609048
4135.232 5.36311 1.670482
4136.185 4.570685 1.657642
4137.137 6.215904 1.582944
4138.091 3.691109 1.49326
4139.043 6.262712 1.491073
4139.998 6.036039 1.510876
4140.95 5.369234 1.515717
4141.903 5.777036 1.476979
4142.858 5.202557 1.450704
4143.811 3.718661 1.379355
4144.767 5.453673 1.411321
4145.72 5.781784 1.404798
4146.676 2.11221 1.421732
4147.63 6.435545 1.517877
4148.584 6.540463 1.535567
4149.541 2.990527 1.438266
4150.495 5.222788 1.807038
4151.453 7.330077 1.761701
4152.407 5.440922 1.358565
4153.365 5.558363 1.341731
4154.32 4.849543 1.358483
4155.276 2.016684 1.322701
4156.234 5.467473 1.410651
4157.19 7.289006 1.490281
4158.149 5.747566 1.465369
4159.105 4.572138 1.438132
4160.065 4.292838 1.434112
4161.022 4.937051 1.435965
4161.979 6.168408 1.455646
4162.939 5.802757 1.445121
4163.896 5.142482 1.437451
4164.856 4.656224 1.455834
4165.815 3.915609 1.562067
4166.775 4.533576 1.593525
4167.734 4.1394 1.527789
4168.693 7.638093 1.501648
4169.654 4.98344 1.450209
4170.613 5.428218 1.410851
4171.575 4.479755 1.409136
4172.535 6.149338 1.420932
4173.497 4.366294 1.410234
4174.457 2.803596 1.320858
4175.417 5.015459 1.393477
4176.38 4.722458 1.343498
4177.341 1.839325 1.289124
4178.304 2.920706 1.336995
4179.265 9.453882 1.461309
4180.229 7.495937 1.41509
4181.191 4.999668 1.295457
4182.155 2.508246 1.275004
4183.117 6.048245 1.330187
4184.08 4.204079 1.304201
4185.044 1.259208 1.252487
4186.007 4.408392 1.319343
4186.972 4.05996 1.373105
4187.935 4.626534 1.406723
4188.901 3.015508 1.428414
4189.865 4.651949 1.455042
4190.829 3.003749 1.4164
4191.795 4.368957 1.389518
4192.759 6.471474 1.371815
4193.726 4.340869 1.319131
4194.691 5.063198 1.303044
4195.658 5.301528 1.303877
4196.623 3.338374 1.295439
4197.589 7.253595 1.359185
4198.557 4.949304 1.354624
4199.523 3.402231 1.336475
4200.491 4.186231 1.307888
4201.458 5.731682 1.288847
4202.426 2.525846 1.236847
4203.393 5.288308 1.213391
4204.36 3.006559 1.214695
4205.33 2.498099 1.175501
4206.297 5.193752 1.252054
4207.267 5.977137 1.233676
4208.235 6.468622 1.285579
4209.205 3.564319 1.268325
4210.174 5.657464 1.281316
4211.142 2.488622 1.231779
4212.113 4.765511 1.245229
4213.082 4.110573 1.245468
4214.054 5.199735 1.217888
4215.023 6.024271 1.254276
4215.995 5.006121 1.207476
